date,lat,lon,U2M
2020-12,-85.7261495499999,30.181030376,-0.7607870101928711
2020-06,-85.7261495499999,30.181030376,-3.1653478145599365
2020-07,-85.7261495499999,30.181030376,-4.100317478179932
2020-03,-85.7261495499999,30.181030376,-2.5272586345672607
2020-02,-85.7261495499999,30.181030376,-1.8220256567001343
2020-01,-85.7261495499999,30.181030376,-0.2433348298072815
2020-08,-85.7261495499999,30.181030376,-4.523294925689697
2020-05,-85.682966102,30.1844889760001,-3.4209115505218506
2020-11,-85.682966102,30.1844889760001,-1.8159475326538086
2020-10,-85.682966102,30.1844889760001,-2.7104806900024414
2020-04,-85.682966102,30.1844889760001,-3.004605531692505
2020-12,-85.682966102,30.1844889760001,-0.7607870101928711
2020-06,-85.682966102,30.1844889760001,-3.1653478145599365
2020-07,-85.682966102,30.1844889760001,-4.100317478179932
2020-03,-85.682966102,30.1844889760001,-2.5272586345672607
2020-02,-85.682966102,30.1844889760001,-1.8220256567001343
2020-01,-85.682966102,30.1844889760001,-0.2433348298072815
2020-08,-85.682966102,30.1844889760001,-4.523294925689697
2020-05,-85.6072741419999,30.154561927,-3.4209115505218506
2020-11,-85.6072741419999,30.154561927,-1.8159475326538086
2020-10,-85.6072741419999,30.154561927,-2.7104806900024414
2020-04,-85.6072741419999,30.154561927,-3.004605531692505
2020-12,-85.6072741419999,30.154561927,-0.7607870101928711
2020-06,-85.6072741419999,30.154561927,-3.1653478145599365
2020-07,-85.6072741419999,30.154561927,-4.100317478179932
2020-03,-85.6072741419999,30.154561927,-2.5272586345672607
2020-02,-85.6072741419999,30.154561927,-1.8220256567001343
2020-01,-85.6072741419999,30.154561927,-0.2433348298072815
2020-08,-85.6072741419999,30.154561927,-4.523294925689697
2020-05,-85.286946142,29.8113267090001,-3.4209115505218506
2020-11,-85.286946142,29.8113267090001,-1.8159475326538086
2020-10,-85.286946142,29.8113267090001,-2.7104806900024414
2020-04,-85.286946142,29.8113267090001,-3.004605531692505
2020-12,-85.286946142,29.8113267090001,-0.7607870101928711
2020-06,-85.286946142,29.8113267090001,-3.1653478145599365
2020-07,-85.286946142,29.8113267090001,-4.100317478179932
2020-03,-85.286946142,29.8113267090001,-2.5272586345672607
2020-02,-85.286946142,29.8113267090001,-1.8220256567001343
2020-01,-85.286946142,29.8113267090001,-0.2433348298072815
2020-08,-85.286946142,29.8113267090001,-4.523294925689697
2020-05,-85.033367093,30.428570478,-3.4209115505218506
2020-11,-85.033367093,30.428570478,-1.8159475326538086
2020-10,-85.033367093,30.428570478,-2.7104806900024414
2020-04,-85.033367093,30.428570478,-3.004605531692505
2020-12,-85.033367093,30.428570478,-0.7607870101928711
2020-06,-85.033367093,30.428570478,-3.1653478145599365
2020-07,-85.033367093,30.428570478,-4.100317478179932
2020-03,-85.033367093,30.428570478,-2.5272586345672607
2020-02,-85.033367093,30.428570478,-1.8220256567001343
2020-01,-85.033367093,30.428570478,-0.2433348298072815
2020-08,-85.033367093,30.428570478,-4.523294925689697
2020-05,-85.6311664199999,30.193746456,-3.4209115505218506
2020-11,-85.6311664199999,30.193746456,-1.8159475326538086
2020-10,-85.6311664199999,30.193746456,-2.7104806900024414
2020-04,-85.6311664199999,30.193746456,-3.004605531692505
2020-12,-85.6311664199999,30.193746456,-0.7607870101928711
2020-06,-85.6311664199999,30.193746456,-3.1653478145599365
2020-07,-85.6311664199999,30.193746456,-4.100317478179932
2020-03,-85.6311664199999,30.193746456,-2.5272586345672607
2020-02,-85.6311664199999,30.193746456,-1.8220256567001343
2020-01,-85.6311664199999,30.193746456,-0.2433348298072815
2020-08,-85.6311664199999,30.193746456,-4.523294925689697
2020-05,-85.6251356719999,30.282920604,-3.4209115505218506
2020-11,-85.6251356719999,30.282920604,-1.8159475326538086
2020-10,-85.6251356719999,30.282920604,-2.7104806900024414
2020-04,-85.6251356719999,30.282920604,-3.004605531692505
2020-12,-85.6251356719999,30.282920604,-0.7607870101928711
2020-06,-85.6251356719999,30.282920604,-3.1653478145599365
2020-07,-85.6251356719999,30.282920604,-4.100317478179932
2020-03,-85.6251356719999,30.282920604,-2.5272586345672607
2020-02,-85.6251356719999,30.282920604,-1.8220256567001343
2020-01,-85.6251356719999,30.282920604,-0.2433348298072815
2020-08,-85.6251356719999,30.282920604,-4.523294925689697
2020-05,-85.661593588,30.792954637,-3.4209115505218506
2020-11,-85.661593588,30.792954637,-1.8159475326538086
